City_ID,City,Long,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
415,zhanakorgan,67.2495,43.9098,-3.61,52,0,4.36,KZ,2023-01-21 14:14:04
416,severo-kurilsk,156.125,50.6789,-6.14,65,75,4.77,RU,2023-01-21 14:14:05
417,salalah,54.0924,17.0151,19.05,30,0,3.09,OM,2023-01-21 14:14:06
418,nishio,137.05,34.8667,8.38,39,58,7.19,JP,2023-01-21 14:14:06
419,biskamzha,89.5272,53.4497,-22.01,96,100,1.38,RU,2023-01-21 14:14:07
420,kamaishi,141.8833,39.2667,1.88,48,90,3.99,JP,2023-01-21 14:14:08
421,sorland,12.6934,67.667,2.92,68,34,2.2,NO,2023-01-21 14:14:09
422,zhezkazgan,67.7144,47.8043,-14.01,66,0,5.0,KZ,2023-01-21 14:14:09
423,perelyub,50.3667,51.8667,-14.06,84,4,3.92,RU,2023-01-21 14:14:10
424,mazyr,29.2456,52.0495,2.02,87,100,5.45,BY,2023-01-21 14:14:11
425,coronado,-117.1831,32.6859,12.77,74,20,3.09,US,2023-01-21 14:14:11
426,comodoro rivadavia,-67.5,-45.8667,17.06,90,100,3.93,AR,2023-01-21 14:14:12
427,urumqi,87.6005,43.801,-13.47,85,100,3.0,CN,2023-01-21 14:14:13
428,limbang,115.0,4.75,31.06,61,52,0.51,MY,2023-01-21 14:14:14
429,mitsamiouli,43.2844,-11.3847,27.76,80,100,7.96,KM,2023-01-21 14:14:14
430,batemans bay,150.1833,-35.7167,22.28,55,86,3.83,AU,2023-01-21 14:14:15
431,gualeguay,-59.3097,-33.1416,21.92,91,100,7.06,AR,2023-01-21 14:14:16
432,sisimiut,-53.6735,66.9395,-19.74,95,100,6.66,GL,2023-01-21 14:10:32
433,kuruman,23.4325,-27.4524,21.11,53,73,2.48,ZA,2023-01-21 14:14:17
434,narsaq,-46.05,60.9167,-22.82,69,0,2.92,GL,2023-01-21 14:14:18
435,nazira,94.7333,26.9167,17.87,53,14,0.74,IN,2023-01-21 14:14:19
436,marsh harbour,-77.0636,26.5412,23.49,71,14,2.08,BS,2023-01-21 14:14:20
437,devonport,146.35,-41.1667,22.27,54,83,3.64,AU,2023-01-21 14:14:20
438,sarahan,77.8,31.5167,-1.49,70,8,4.05,IN,2023-01-21 14:14:22
439,strezhevoy,77.5889,60.7333,-29.28,92,100,4.53,RU,2023-01-21 14:14:22
440,buchanan,-10.0467,5.8808,25.81,86,100,3.11,LR,2023-01-21 14:14:23
441,zhangjiakou,114.8794,40.81,-7.5,46,9,2.15,CN,2023-01-21 14:14:24
442,rawson,-65.1023,-43.3002,19.67,79,91,4.24,AR,2023-01-21 14:14:24
443,howard springs,131.047,-12.497,33.23,59,67,2.94,AU,2023-01-21 14:14:25
444,qiongshan,110.3542,20.0058,18.87,84,100,6.25,CN,2023-01-21 14:14:26
445,planadas,-75.6451,3.197,18.52,92,99,1.64,CO,2023-01-21 14:14:27
446,tabou,-7.3528,4.423,25.56,86,100,2.65,CI,2023-01-21 14:14:28
447,ammokhorion,21.4833,40.7833,4.59,92,89,2.82,GR,2023-01-21 14:14:29
448,vostok,135.8833,46.4856,-25.35,70,5,2.69,RU,2023-01-21 14:14:29
449,wilmington,-77.9447,34.2257,7.22,71,0,1.54,US,2023-01-21 14:10:28
450,west bay,-81.4167,19.3667,25.04,80,20,2.57,KY,2023-01-21 14:14:30
451,luganville,167.1667,-15.5333,28.97,74,98,3.22,VU,2023-01-21 14:14:31
452,ahipara,173.1667,-35.1667,22.56,69,98,3.86,NZ,2023-01-21 14:14:32
453,san ramon,-121.978,37.7799,9.9,65,0,3.6,US,2023-01-21 14:10:18
454,north bend,-124.2243,43.4065,6.07,93,0,1.54,US,2023-01-21 14:14:33
455,gazli,63.45,40.1333,-6.0,84,81,3.41,UZ,2023-01-21 14:14:34
456,santa maria da vitoria,-44.1886,-13.3947,20.68,92,100,1.14,BR,2023-01-21 14:14:34
457,tazovskiy,78.7,67.4667,-28.32,84,100,9.04,RU,2023-01-21 14:14:35
458,jasper,-94.3502,37.2001,2.15,80,0,2.57,US,2023-01-21 14:14:36
459,koshurnikovo,93.3,54.1667,-27.56,95,97,1.35,RU,2023-01-21 14:14:38
460,morden,-98.1014,49.1919,-9.09,81,70,5.31,CA,2023-01-21 14:13:15
461,toora-khem,96.11,52.4675,-18.82,88,100,2.14,RU,2023-01-21 14:14:39
462,oakham,-0.7333,52.6667,0.64,92,6,3.09,GB,2023-01-21 14:14:40
463,tianpeng,103.9393,30.9866,9.29,62,98,1.11,CN,2023-01-21 14:14:42
464,tara,74.371,56.8944,-17.46,97,99,2.98,RU,2023-01-21 14:14:43
465,monte mor,-47.3158,-22.9467,20.64,100,20,2.06,BR,2023-01-21 14:14:44
466,vila velha,-40.2925,-20.3297,22.97,97,75,0.0,BR,2023-01-21 14:14:44
467,novikovo,37.8879,51.1537,-2.4,64,100,6.77,RU,2023-01-21 14:14:45
468,vanderhoof,-124.0198,54.0166,-4.71,97,78,1.44,CA,2023-01-21 14:14:46
469,george town,100.3354,5.4112,27.96,78,20,4.12,MY,2023-01-21 14:12:00
470,banjar,114.9675,-8.19,29.63,67,71,1.18,ID,2023-01-21 14:14:47
471,shenjiamen,122.298,29.9576,8.79,65,95,5.24,CN,2023-01-21 14:14:48
472,kaitangata,169.8464,-46.2817,16.77,49,2,4.24,NZ,2023-01-21 14:14:48
